




Analysis Type:	PANTHER Overrepresentation Test (Released 20190701)
Annotation Version and Release Date:	GO Ontology database  Released 2019-02-02
Analyzed List:	InfBvsCont_wk4_up.txt (Bos taurus)
Reference List:	AvsBvsC_filtered_genes.txt (Bos taurus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	AvsBvsC_filtered_genes.txt - REFLIST (12944)	InfBvsCont_wk4_up.txt (1345)	InfBvsCont_wk4_up.txt (expected)	InfBvsCont_wk4_up.txt (over/under)	InfBvsCont_wk4_up.txt (fold Enrichment)	InfBvsCont_wk4_up.txt (raw P-value)	InfBvsCont_wk4_up.txt (FDR)
sphingoid biosynthetic process (GO:0046520)	6	6	.62	+	9.62	3.86E-04	3.63E-02
sphingosine biosynthetic process (GO:0046512)	6	6	.62	+	9.62	3.86E-04	3.60E-02
zymogen activation (GO:0031638)	11	8	1.14	+	7.00	1.77E-04	2.11E-02
nucleobase-containing small molecule catabolic process (GO:0034656)	11	8	1.14	+	7.00	1.77E-04	2.09E-02
nucleoside catabolic process (GO:0009164)	10	7	1.04	+	6.74	5.37E-04	4.67E-02
diol biosynthetic process (GO:0034312)	10	7	1.04	+	6.74	5.37E-04	4.64E-02
antigen processing and presentation of peptide antigen (GO:0048002)	16	9	1.66	+	5.41	2.86E-04	2.97E-02
ATP generation from ADP (GO:0006757)	21	11	2.18	+	5.04	9.87E-05	1.41E-02
glycolytic process (GO:0006096)	21	11	2.18	+	5.04	9.87E-05	1.39E-02
complement activation (GO:0006956)	18	9	1.87	+	4.81	5.52E-04	4.67E-02
response to interferon-gamma (GO:0034341)	43	21	4.47	+	4.70	1.88E-07	1.31E-04
ADP metabolic process (GO:0046031)	28	13	2.91	+	4.47	6.12E-05	9.93E-03
cellular response to interferon-gamma (GO:0071346)	35	16	3.64	+	4.40	1.03E-05	2.60E-03
positive regulation of response to cytokine stimulus (GO:0060760)	27	12	2.81	+	4.28	1.62E-04	2.02E-02
tricarboxylic acid cycle (GO:0006099)	25	11	2.60	+	4.23	3.23E-04	3.19E-02
positive regulation of tumor necrosis factor production (GO:0032760)	32	14	3.33	+	4.21	5.35E-05	9.32E-03
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	32	14	3.33	+	4.21	5.35E-05	9.18E-03
pyruvate metabolic process (GO:0006090)	32	13	3.33	+	3.91	1.78E-04	2.08E-02
ribonucleoside diphosphate metabolic process (GO:0009185)	32	13	3.33	+	3.91	1.78E-04	2.06E-02
purine ribonucleoside diphosphate metabolic process (GO:0009179)	32	13	3.33	+	3.91	1.78E-04	2.04E-02
purine nucleoside diphosphate metabolic process (GO:0009135)	32	13	3.33	+	3.91	1.78E-04	2.02E-02
positive regulation of interleukin-6 production (GO:0032755)	38	14	3.95	+	3.55	2.31E-04	2.50E-02
protein processing (GO:0016485)	41	15	4.26	+	3.52	1.48E-04	1.93E-02
nucleoside diphosphate phosphorylation (GO:0006165)	36	13	3.74	+	3.48	4.47E-04	4.04E-02
nucleotide phosphorylation (GO:0046939)	36	13	3.74	+	3.48	4.47E-04	4.01E-02
pattern recognition receptor signaling pathway (GO:0002221)	40	14	4.16	+	3.37	3.54E-04	3.41E-02
innate immune response-activating signal transduction (GO:0002758)	40	14	4.16	+	3.37	3.54E-04	3.38E-02
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	72	25	7.48	+	3.34	2.28E-06	8.99E-04
antigen processing and presentation (GO:0019882)	42	14	4.36	+	3.21	5.29E-04	4.64E-02
innate immune response (GO:0045087)	189	58	19.64	+	2.95	5.62E-11	3.32E-07
regulation of interleukin-6 production (GO:0032675)	53	16	5.51	+	2.91	5.42E-04	4.65E-02
response to virus (GO:0009615)	108	32	11.22	+	2.85	2.58E-06	9.85E-04
positive regulation of DNA-binding transcription factor activity (GO:0051091)	110	32	11.43	+	2.80	3.06E-06	1.13E-03
defense response to virus (GO:0051607)	69	20	7.17	+	2.79	1.83E-04	2.06E-02
protein maturation (GO:0051604)	69	20	7.17	+	2.79	1.83E-04	2.04E-02
regulation of angiogenesis (GO:0045765)	117	33	12.16	+	2.71	3.18E-06	1.11E-03
defense response to other organism (GO:0098542)	126	34	13.09	+	2.60	6.76E-06	1.86E-03
inflammatory response (GO:0006954)	138	36	14.34	+	2.51	5.22E-06	1.58E-03
defense response (GO:0006952)	361	94	37.51	+	2.51	1.57E-13	1.85E-09
proton transmembrane transport (GO:1902600)	86	22	8.94	+	2.46	4.18E-04	3.81E-02
regulation of vasculature development (GO:1901342)	131	33	13.61	+	2.42	3.46E-05	6.94E-03
regulation of innate immune response (GO:0045088)	136	34	14.13	+	2.41	2.61E-05	5.51E-03
positive regulation of response to external stimulus (GO:0032103)	119	29	12.37	+	2.35	1.62E-04	2.00E-02
generation of precursor metabolites and energy (GO:0006091)	175	42	18.18	+	2.31	5.60E-06	1.66E-03
positive regulation of defense response (GO:0031349)	139	33	14.44	+	2.28	6.36E-05	9.91E-03
cytokine-mediated signaling pathway (GO:0019221)	149	35	15.48	+	2.26	5.70E-05	9.64E-03
response to molecule of bacterial origin (GO:0002237)	112	26	11.64	+	2.23	5.82E-04	4.89E-02
