




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-07-03
Analyzed List:	upload_1 (Bos taurus)
Reference List:	AvsBvsC_filtered_genes.txt (Bos taurus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	AvsBvsC_filtered_genes.txt - REFLIST (12944)	upload_1 (1345)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
sphingoid biosynthetic process (GO:0046520)	6	6	.62	+	9.62	3.86E-04	4.38E-02
sphingosine biosynthetic process (GO:0046512)	6	6	.62	+	9.62	3.86E-04	4.34E-02
regulation of neuroinflammatory response (GO:0150077)	9	8	.94	+	8.55	6.75E-05	1.39E-02
zymogen activation (GO:0031638)	13	9	1.35	+	6.66	9.03E-05	1.61E-02
macrophage activation (GO:0042116)	15	9	1.56	+	5.77	2.00E-04	2.90E-02
antigen processing and presentation of peptide antigen (GO:0048002)	17	9	1.77	+	5.09	4.01E-04	4.43E-02
positive regulation of response to cytokine stimulus (GO:0060760)	27	12	2.81	+	4.28	1.62E-04	2.50E-02
ATP generation from ADP (GO:0006757)	25	11	2.60	+	4.23	3.23E-04	4.02E-02
positive regulation of chemokine production (GO:0032722)	25	11	2.60	+	4.23	3.23E-04	3.97E-02
glycolytic process (GO:0006096)	25	11	2.60	+	4.23	3.23E-04	3.93E-02
response to interferon-gamma (GO:0034341)	37	16	3.84	+	4.16	1.78E-05	5.18E-03
ADP metabolic process (GO:0046031)	32	13	3.33	+	3.91	1.78E-04	2.65E-02
negative regulation of developmental growth (GO:0048640)	30	12	3.12	+	3.85	3.51E-04	4.14E-02
positive regulation of interleukin-6 production (GO:0032755)	38	14	3.95	+	3.55	2.31E-04	3.20E-02
protein processing (GO:0016485)	47	17	4.88	+	3.48	6.14E-05	1.31E-02
ribonucleoside diphosphate metabolic process (GO:0009185)	36	13	3.74	+	3.48	4.47E-04	4.72E-02
purine ribonucleoside diphosphate metabolic process (GO:0009179)	36	13	3.74	+	3.48	4.47E-04	4.68E-02
purine nucleoside diphosphate metabolic process (GO:0009135)	36	13	3.74	+	3.48	4.47E-04	4.64E-02
pattern recognition receptor signaling pathway (GO:0002221)	39	14	4.05	+	3.45	2.87E-04	3.76E-02
innate immune response-activating signal transduction (GO:0002758)	39	14	4.05	+	3.45	2.87E-04	3.72E-02
antigen processing and presentation (GO:0019882)	40	14	4.16	+	3.37	3.54E-04	4.10E-02
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	70	24	7.27	+	3.30	4.32E-06	1.84E-03
activation of innate immune response (GO:0002218)	54	17	5.61	+	3.03	2.45E-04	3.32E-02
myeloid leukocyte activation (GO:0002274)	52	16	5.40	+	2.96	4.56E-04	4.68E-02
protein maturation (GO:0051604)	70	21	7.27	+	2.89	8.50E-05	1.61E-02
innate immune response (GO:0045087)	177	53	18.39	+	2.88	6.39E-10	1.53E-06
positive regulation of DNA-binding transcription factor activity (GO:0051091)	110	31	11.43	+	2.71	6.53E-06	2.51E-03
inflammatory response (GO:0006954)	136	37	14.13	+	2.62	2.14E-06	9.82E-04
response to virus (GO:0009615)	102	27	10.60	+	2.55	5.89E-05	1.30E-02
defense response to other organism (GO:0098542)	244	63	25.35	+	2.48	2.26E-09	3.37E-06
regulation of angiogenesis (GO:0045765)	113	29	11.74	+	2.47	6.06E-05	1.31E-02
defense response (GO:0006952)	347	88	36.06	+	2.44	4.26E-12	5.08E-08
positive regulation of response to biotic stimulus (GO:0002833)	96	24	9.98	+	2.41	3.85E-04	4.42E-02
