genes	logFC	logCPM	LR	PValue	FDR	
FGF11	3.15445025	0.912153859	60.38748738	7.79066E-15	1.13159E-10	
FAR2	-1.865175674	3.419877126	58.30410181	2.24575E-14	1.63098E-10	
CFI	-3.121233093	2.711060488	54.41851514	1.62029E-13	7.84491E-10	
DCHS1	2.068295023	2.529573728	50.87001795	9.86896E-13	3.58367E-09	
P2RY6	-2.279574752	3.741448721	50.02042983	1.52154E-12	4.42006E-09	
ENO3	-1.788051734	5.13895358	43.96694609	3.33968E-11	8.08482E-08	
NFE2L3	-1.352194017	5.687688966	42.85407873	5.8979E-11	1.22381E-07	
P2RY1	-1.954844977	5.1008191	42.55282406	6.87989E-11	1.24913E-07	
CXCL10	-2.392401951	3.923442022	41.73115152	1.04727E-10	1.69018E-07	
DAB2	3.357899989	1.431475756	39.6317113	3.06663E-10	4.05863E-07	
LOC100847159	1.803333186	4.858912795	39.62724068	3.07366E-10	4.05863E-07	
LOC521214	-2.96487478	1.803729335	39.21822911	3.78985E-10	4.5873E-07	
DBN1	1.397259325	4.284832086	38.81818781	4.65173E-10	5.19742E-07	
WC1.3	1.749481063	8.180262444	38.33108524	5.9704E-10	6.19429E-07	
SCIMP	-1.26724933	5.657015308	37.74210137	8.0743E-10	7.81861E-07	
SOX4	1.310268152	4.269798005	36.85427113	1.27297E-09	1.15562E-06	
COL18A1	1.623168655	5.384191326	35.4022035	2.68183E-09	2.29139E-06	
NUPR1	-3.501963525	4.53340776	35.14194671	3.06526E-09	2.4735E-06	
PEG10	2.144765113	1.974941433	34.15599685	5.08662E-09	3.88859E-06	
CTSZ	-1.284618184	7.35204552	33.70124547	6.42595E-09	4.51271E-06	
KYNU	-1.211013761	5.8248913	33.67166791	6.52441E-09	4.51271E-06	
LY86	-1.055324756	6.969601794	33.22058059	8.22751E-09	5.43203E-06	
RAB7B	-2.257564898	4.220623559	32.81275775	1.01477E-08	6.40847E-06	
BLK	1.417775281	7.709878835	32.56901127	1.15034E-08	6.96198E-06	
TNFAIP8L3	-3.666030041	0.125091455	32.40327328	1.25275E-08	7.27849E-06	
PYGM	1.772420202	4.027457581	31.71526601	1.78513E-08	9.97272E-06	
STEAP3	-1.389178057	4.083727149	31.59743726	1.8968E-08	1.02041E-05	
SLC34A3	1.863804285	1.665350281	31.31999351	2.18815E-08	1.1351E-05	
C16H1orf115	-2.270786127	4.323125536	31.08817842	2.46568E-08	1.23497E-05	
PTPRS	1.178577972	3.890499545	30.94720784	2.65143E-08	1.28374E-05	
LAP3	-1.639028441	7.979447514	30.77486978	2.89766E-08	1.33868E-05	
ADGRL1	1.333522775	4.778287593	30.74062542	2.94925E-08	1.33868E-05	
LOC507055	-1.30136386	7.650440126	30.67974241	3.04326E-08	1.33949E-05	
SLC6A4	-2.849916075	5.356713449	30.55520763	3.245E-08	1.3488E-05	
ATP6V1B2	-0.857228091	7.13974112	30.55214281	3.25013E-08	1.3488E-05	
ATP1A1	-0.916845864	7.652319083	30.299359	3.70248E-08	1.49385E-05	
STXBP1	-3.272829272	1.468946106	29.06170047	7.01094E-08	2.75227E-05	
ACSL5	-0.844844944	7.478633066	28.87417837	7.72357E-08	2.95223E-05	
MAFB	-1.240658904	5.877004373	28.59197448	8.93517E-08	3.28454E-05	
CD72	-0.861835637	5.14914425	28.56827686	9.0452E-08	3.28454E-05	
ZNF462	1.604226639	4.318100341	28.34035274	1.01753E-07	3.57388E-05	
IL27	-2.020588374	2.085557486	28.31036782	1.03341E-07	3.57388E-05	
WARS	-1.072539401	8.266830842	28.22889164	1.07784E-07	3.64083E-05	
OPTN	-0.929075571	5.411042892	28.02026358	1.20052E-07	3.96307E-05	
TMC1	-2.780484771	1.706901156	27.92057534	1.26399E-07	4.04059E-05	
